min post release, degrees from east, mph
0.000000, 77.698369, 3.264401
0.500000, 86.324980, 3.845136
1.000000, 57.643327, 3.016091
1.500000, 51.033412, 2.565516
2.000000, 60.025210, 3.729616
2.500000, 75.979728, 3.142759
3.000000, 71.449676, 2.912738
3.500000, 65.964959, 2.719150
4.000000, 48.844601, 3.270180
4.500000, 55.021704, 2.114048
5.000000, 60.663031, 2.136832
5.500000, 62.863505, 2.931188
6.000000, 62.680012, 2.809743
6.500000, 56.604703, 3.593015
7.000000, 30.450950, 4.089835
7.500000, 30.857993, 3.393805
8.000000, 21.804629, 4.041707
8.500000, 24.928958, 4.055584
9.000000, 18.763603, 2.991250
9.500000, 28.704629, 2.363742
10.000000, 21.855660, 2.904078
10.500000, 6.697835, 3.409139
11.000000, 2.096898, 2.835082
11.500000, 2.896228, 2.631438
12.000000, 8.680185, 2.130173
12.500000, 19.634793, 2.498897
13.000000, 343.890451, 2.300880
13.500000, 320.417762, 2.318769
14.000000, 328.324778, 2.912771
14.500000, 341.905071, 2.088027
15.000000, 321.296203, 1.713285
15.500000, 301.905965, 1.811060
16.000000, 328.048871, 3.208374
16.500000, 347.555211, 2.527241
17.000000, 326.761144, 3.064482
17.500000, 336.877836, 2.408652
18.000000, 343.294977, 1.957200
18.500000, 5.835433, 1.897609
19.000000, 330.876772, 2.547448
19.500000, 308.021943, 3.006455
