min post release, degrees from east, mph
-1.000000, 64.055895, 3.452522
-0.916700, 62.879709, 3.495994
-0.833400, 59.060158, 3.250442
-0.750100, 57.766246, 2.624367
-0.666800, 68.540510, 2.952025
-0.583500, 72.504399, 2.655702
-0.500200, 73.346043, 2.799400
-0.416900, 77.630419, 2.816564
-0.333600, 76.598686, 2.428029
-0.250300, 82.792947, 2.624855
-0.167000, 78.630959, 2.224685
-0.083700, 83.447143, 2.097945
-0.000400, 71.020315, 2.694266
0.082900, 62.911526, 3.209966
0.166200, 72.631803, 3.393665
0.249500, 81.312500, 3.452482
0.332800, 90.697029, 3.486522
0.416100, 87.486513, 3.349627
0.499400, 89.450926, 3.375764
0.582700, 91.395166, 3.656792
0.666000, 88.425905, 4.024776
0.749300, 86.747639, 4.139637
0.832600, 83.605124, 4.028456
0.915900, 78.524619, 3.857822
0.999200, 74.141487, 3.424691
1.082500, 69.870200, 3.331341
1.165800, 70.735485, 3.218829
1.249100, 61.368390, 3.007769
1.332400, 35.328573, 2.805695
1.415700, 34.184107, 2.336472
1.499000, 41.196403, 1.885333
1.582300, 57.819955, 2.162236
1.665600, 50.169026, 2.748993
1.748900, 50.406765, 2.364145
1.832200, 61.114666, 2.483199
1.915500, 45.286718, 3.700388
1.998800, 48.331849, 4.214481
2.082100, 54.365791, 3.469244
2.165400, 55.979290, 3.217499
2.248700, 65.838643, 3.065879
2.332000, 69.851123, 4.545847
2.415300, 65.237460, 3.873180
2.498600, 72.900228, 3.439012
2.581900, 75.789945, 3.639336
2.665200, 73.490477, 3.186815
2.748500, 78.360085, 3.068468
2.831800, 82.636889, 2.656006
2.915100, 72.715360, 2.888997
2.998400, 69.311320, 3.128617
3.081700, 77.380568, 3.057005
3.165000, 77.009288, 2.768387
3.248300, 69.620530, 2.653861
3.331600, 67.146592, 2.880942
3.414900, 68.359915, 2.956324
3.498200, 68.175596, 2.850051
3.581500, 72.841782, 2.151626
3.664800, 79.058728, 2.031441
3.748100, 67.706872, 2.921694
3.831400, 63.706869, 3.379797
3.914700, 44.271616, 3.017260
3.998000, 44.632570, 2.876614
4.081300, 50.909921, 2.812676
4.164600, 51.871263, 3.695426
4.247900, 53.720077, 3.590305
4.331200, 43.129332, 3.290038
4.414500, 48.884063, 3.374391
4.497800, 45.703398, 3.076783
4.581100, 45.699740, 2.508075
4.664400, 54.221825, 1.786203
4.747700, 58.555005, 1.670871
4.831000, 64.291454, 1.548553
4.914300, 61.303185, 2.125033
4.997600, 58.558083, 1.932554
5.080900, 64.638163, 1.910076
5.164200, 61.491845, 2.050046
5.247500, 45.067533, 2.077136
5.330800, 79.898150, 2.490402
5.414100, 54.879893, 2.366531
5.497400, 62.064549, 2.419836
5.580700, 67.513711, 2.771959
5.664000, 69.383468, 3.242145
5.747300, 56.495075, 3.274998
5.830600, 56.947913, 2.700687
5.913900, 64.620637, 3.154166
5.997200, 67.404381, 3.112887
6.080500, 67.103440, 3.003271
6.163800, 55.532108, 2.737810
6.247100, 58.949734, 2.600920
6.330400, 60.673747, 2.620980
6.413700, 65.974549, 2.789672
6.497000, 72.401122, 2.875530
6.580300, 77.579824, 2.772167
6.663600, 76.266776, 3.372002
6.746900, 45.374345, 4.187017
6.830200, 31.800901, 3.936057
6.913500, 37.193812, 4.395523
6.996800, 33.426382, 4.621486
7.080100, 31.970056, 4.692857
7.163400, 32.172615, 4.274566
7.246700, 30.737921, 3.979205
7.330000, 28.470349, 3.788319
7.413300, 26.498151, 3.272813
7.496600, 26.141045, 3.487172
7.579900, 22.151676, 3.307318
7.663200, 25.614005, 3.222632
7.746500, 47.218545, 2.963049
7.829800, 33.310598, 3.426602
7.913100, 30.542749, 3.912768
7.996400, 29.803789, 3.557840
8.079700, 9.344218, 4.110852
8.163000, 14.236338, 3.852091
8.246300, 18.427556, 3.701230
8.329600, 26.918272, 4.602167
8.412900, 32.093911, 4.437512
8.496200, 32.229860, 3.757678
8.579500, 32.246774, 3.618265
8.662800, 25.705707, 4.530060
